SNR_dB,rho,Near_user_PEP,Far_user_PEP,Average_PEP,kappa,selected_relay,selected_relay_gain
5.00000,0.05000,0.38557,0.38877,0.38717,2.00000,2.00000,0.43179
5.00000,0.05452,0.38151,0.38480,0.38316,2.00000,2.00000,0.43179
5.00000,0.05905,0.37772,0.38110,0.37941,2.00000,2.00000,0.43179
5.00000,0.06357,0.37416,0.37762,0.37589,2.00000,2.00000,0.43179
5.00000,0.06809,0.37082,0.37436,0.37259,2.00000,2.00000,0.43179
5.00000,0.07261,0.36768,0.37128,0.36948,2.00000,2.00000,0.43179
5.00000,0.07714,0.36471,0.36837,0.36654,2.00000,2.00000,0.43179
5.00000,0.08166,0.36190,0.36562,0.36376,2.00000,2.00000,0.43179
5.00000,0.08618,0.35924,0.36301,0.36113,2.00000,2.00000,0.43179
5.00000,0.09070,0.35671,0.36054,0.35863,2.00000,2.00000,0.43179
5.00000,0.09523,0.35432,0.35819,0.35625,2.00000,2.00000,0.43179
5.00000,0.09975,0.35204,0.35596,0.35400,2.00000,2.00000,0.43179
5.00000,0.10427,0.34987,0.35383,0.35185,2.00000,2.00000,0.43179
5.00000,0.10879,0.34780,0.35180,0.34980,2.00000,2.00000,0.43179
5.00000,0.11332,0.34584,0.34986,0.34785,2.00000,2.00000,0.43179
5.00000,0.11784,0.34396,0.34802,0.34599,2.00000,2.00000,0.43179
5.00000,0.12236,0.34216,0.34625,0.34421,2.00000,2.00000,0.43179
5.00000,0.12688,0.34045,0.34457,0.34251,2.00000,2.00000,0.43179
5.00000,0.13141,0.33882,0.34296,0.34089,2.00000,2.00000,0.43179
5.00000,0.13593,0.33725,0.34142,0.33934,2.00000,2.00000,0.43179
5.00000,0.14045,0.33576,0.33994,0.33785,2.00000,2.00000,0.43179
5.00000,0.14497,0.33433,0.33853,0.33643,2.00000,2.00000,0.43179
5.00000,0.14950,0.33296,0.33718,0.33507,2.00000,2.00000,0.43179
5.00000,0.15402,0.33165,0.33589,0.33377,2.00000,2.00000,0.43179
5.00000,0.15854,0.33040,0.33466,0.33253,2.00000,2.00000,0.43179
5.00000,0.16307,0.32920,0.33347,0.33133,2.00000,2.00000,0.43179
5.00000,0.16759,0.32805,0.33234,0.33019,2.00000,2.00000,0.43179
5.00000,0.17211,0.32695,0.33125,0.32910,2.00000,2.00000,0.43179
5.00000,0.17663,0.32590,0.33021,0.32806,2.00000,2.00000,0.43179
5.00000,0.18116,0.32490,0.32921,0.32706,2.00000,2.00000,0.43179
5.00000,0.18568,0.32394,0.32826,0.32610,2.00000,2.00000,0.43179
5.00000,0.19020,0.32302,0.32735,0.32518,2.00000,2.00000,0.43179
5.00000,0.19472,0.32214,0.32648,0.32431,2.00000,2.00000,0.43179
5.00000,0.19925,0.32130,0.32564,0.32347,2.00000,2.00000,0.43179
5.00000,0.20377,0.32050,0.32485,0.32267,2.00000,2.00000,0.43179
5.00000,0.20829,0.31973,0.32409,0.32191,2.00000,2.00000,0.43179
5.00000,0.21281,0.31900,0.32336,0.32118,2.00000,2.00000,0.43179
5.00000,0.21734,0.31831,0.32266,0.32049,2.00000,2.00000,0.43179
5.00000,0.22186,0.31764,0.32200,0.31982,2.00000,2.00000,0.43179
5.00000,0.22638,0.31701,0.32137,0.31919,2.00000,2.00000,0.43179
5.00000,0.23090,0.31641,0.32077,0.31859,2.00000,2.00000,0.43179
5.00000,0.23543,0.31584,0.32020,0.31802,2.00000,2.00000,0.43179
5.00000,0.23995,0.31530,0.31966,0.31748,2.00000,2.00000,0.43179
5.00000,0.24447,0.31478,0.31914,0.31696,2.00000,2.00000,0.43179
5.00000,0.24899,0.31430,0.31865,0.31647,2.00000,2.00000,0.43179
5.00000,0.25352,0.31384,0.31819,0.31601,2.00000,2.00000,0.43179
5.00000,0.25804,0.31340,0.31775,0.31558,2.00000,2.00000,0.43179
5.00000,0.26256,0.31299,0.31734,0.31517,2.00000,2.00000,0.43179
5.00000,0.26709,0.31261,0.31695,0.31478,2.00000,2.00000,0.43179
