SNR_dB,Q_learning_rho,Exhaustive_search_rho,Q_learning_avg_PEP,Fixed_rho_0_25_avg_PEP,Fixed_rho_0_50_avg_PEP,Fixed_rho_0_75_avg_PEP,Random_rho_avg_PEP,Exhaustive_search_avg_PEP
0.00000,0.35000,0.35000,0.40424,0.40728,0.40861,0.43490,0.42605,0.40424
2.00000,0.35000,0.35000,0.34900,0.35105,0.35761,0.39649,0.38135,0.34900
4.00000,0.35000,0.30000,0.28383,0.28267,0.29824,0.35017,0.32625,0.28216
6.00000,0.35000,0.25000,0.21707,0.21171,0.23685,0.29980,0.26661,0.21171
8.00000,0.15000,0.20000,0.14822,0.14761,0.17849,0.24792,0.20861,0.14626
10.00000,0.15000,0.15000,0.09312,0.09623,0.12696,0.19647,0.15695,0.09312
12.00000,0.15000,0.15000,0.05518,0.05929,0.08517,0.14807,0.11434,0.05518
14.00000,0.20000,0.10000,0.03324,0.03530,0.05442,0.10593,0.08140,0.03138
16.00000,0.20000,0.10000,0.01959,0.02101,0.03394,0.07261,0.05728,0.01791
18.00000,0.20000,0.10000,0.01209,0.01302,0.02145,0.04883,0.04043,0.01085
20.00000,0.20000,0.05000,0.00809,0.00870,0.01429,0.03338,0.02913,0.00712
22.00000,0.20000,0.05000,0.00596,0.00640,0.01032,0.02405,0.02184,0.00517
24.00000,0.20000,0.05000,0.00481,0.00515,0.00815,0.01868,0.01731,0.00414
26.00000,0.20000,0.05000,0.00417,0.00445,0.00694,0.01564,0.01458,0.00358
28.00000,0.15000,0.05000,0.00359,0.00405,0.00625,0.01391,0.01297,0.00326
30.00000,0.15000,0.05000,0.00339,0.00382,0.00585,0.01292,0.01204,0.00307
32.00000,0.15000,0.05000,0.00326,0.00368,0.00561,0.01234,0.01150,0.00296
34.00000,0.15000,0.05000,0.00319,0.00359,0.00546,0.01198,0.01118,0.00289
36.00000,0.15000,0.05000,0.00315,0.00354,0.00538,0.01177,0.01099,0.00285
38.00000,0.15000,0.05000,0.00312,0.00351,0.00532,0.01164,0.01088,0.00282
40.00000,0.15000,0.05000,0.00310,0.00349,0.00529,0.01156,0.01081,0.00281
