state_index,snr_db,delta_near,delta_far,sigma_n2,eta,relay_alpha_2_selected_relay,relay_alpha_2_gain,relay_alpha_2_optimal_rho,relay_alpha_2_min_avg_pep,relay_alpha_3_selected_relay,relay_alpha_3_gain,relay_alpha_3_optimal_rho,relay_alpha_3_min_avg_pep,lambda_1_optimal_rho,lambda_1_min_avg_pep
0,5.82368963597508,0.07486069004847877,0.3801657519924735,0.5008775507609291,0.8396092571669395,2,0.8484655470148067,0.353,0.30530101875736027,2,2.4778074447528122,0.277,0.259277505651046,0.343,0.2974395310976804
1,32.2003181986783,0.04003033619934976,0.04017959259872148,0.7112665507606308,0.7173776205307771,5,0.18242637045656757,0.066,0.0002899333538824711,5,1.0532914190304419,0.029,0.0002636814607877014,0.029,0.00026414858939075025
2,2.002800543193802,0.0029011228179523685,0.372003229884704,0.9790128376915841,0.6175487754411074,6,0.08326970075850705,0.418,0.4622190902940284,6,0.3278711650248691,0.404,0.4289808628857197,0.372,0.38969106118638835
3,23.491600719403202,0.02901444706192103,0.13138642956673777,0.7240351111660043,0.9453721309719619,8,0.8500701256679558,0.07200000000000001,0.009426441314973583,8,8.162520470807326,0.025,0.008578800665842129,0.067,0.009324353814412961
4,13.202631672537263,0.047003403371041995,0.07841746642075673,0.7525871115177117,0.9862054031621335,8,0.1076041023850941,0.324,0.08870765298219838,7,0.30590044958493295,0.23900000000000002,0.058778533233935726,0.154,0.04247909284033269
5,23.105600233740834,0.06296375033045316,0.19536210136837484,0.6058710306499522,0.7578519195346255,6,0.26351787417846717,0.154,0.02980089729167798,1,1.3895780979849954,0.074,0.025817866349376578,0.08600000000000001,0.026335237441062115
6,7.941684533899316,0.6307171039017958,0.8737148810275271,0.7623991247096342,0.8402219206789164,3,1.4009955924208737,0.28,0.3401544715799194,3,9.966695231201761,0.137,0.314243170638196,0.309,0.34723506224202016
7,0.17801566724189755,0.0733636693786178,0.3292098615575994,0.7024460454572938,0.8084946299022759,6,1.1923383442647502,0.381,0.42586542551016326,6,6.591905060305331,0.306,0.3699053294935983,0.386,0.43101891051367563
8,38.88529540001378,0.002437869333479714,0.4153954397387124,0.6033205766186336,0.9246417883168785,1,0.10656693865146555,0.042,0.08616998751264726,4,0.564184725783749,0.019000000000000003,0.0848204748879044,0.014000000000000002,0.0845641621434153
9,7.8963042829771934,0.17325389708638184,0.7129832884878522,0.9596151107530648,0.9628393618179626,4,0.46611277852277594,0.316,0.2836735244445939,4,3.6797005665975067,0.16,0.23506388571985445,0.255,0.2604397427163717
10,31.794073267910935,0.022511765739834988,0.07572138807799597,0.5112672542123434,0.604341110219359,1,0.36864099400974665,0.066,0.0012836663210880617,1,1.0501139461606024,0.04,0.0012130605352839163,0.041,0.001215520697666811
11,14.529141757921376,0.04978020536474503,0.8987499593165476,0.5188652734636737,0.730612897393109,2,0.7932303011593664,0.218,0.1902516105514443,8,5.785311286648714,0.099,0.17641959516714212,0.2,0.18776839077136154
12,34.3675351462523,0.02758367554559907,0.11953209354461904,0.9190777229492078,0.7287236945446098,3,0.3432148706128796,0.036000000000000004,0.005281594745398049,3,1.0543006937092023,0.021,0.005141630128221886,0.022000000000000002,0.005146577906711303
13,6.214092611392134,0.03423789473668553,0.14697304314195053,0.7421366071760679,0.684143054954671,2,0.3903742176652118,0.371,0.3004829850191675,2,2.4501158982809423,0.245,0.21180447302946917,0.312,0.24962468962725223
